"id","driver_code","shipment_no","total_costs","cost_status"
959,DRIVER015,SHIPMENT435,100000.00,PENDING
960,DRIVER021,SHIPMENT234,2800000.00,PAID
961,DRIVER020,SHIPMENT746,800000.00,CONFIRMED
962,DRIVER018,SHIPMENT853,600000.00,PAID
963,DRIVER001,SHIPMENT193,900000.00,CONFIRMED
964,DRIVER026,SHIPMENT938,9500000.00,PENDING
965,DRIVER025,SHIPMENT919,9200000.00,PAID
966,DRIVER011,SHIPMENT825,9600000.00,CONFIRMED
967,DRIVER001,SHIPMENT796,8600000.00,PENDING
968,DRIVER018,SHIPMENT413,6900000.00,PENDING
969,DRIVER002,SHIPMENT664,1700000.00,CONFIRMED
970,DRIVER035,SHIPMENT695,8500000.00,PAID
971,DRIVER030,SHIPMENT466,6100000.00,PAID
972,DRIVER010,SHIPMENT822,4000000.00,PAID
973,DRIVER019,SHIPMENT773,600000.00,CONFIRMED
974,DRIVER033,SHIPMENT924,7600000.00,CONFIRMED
975,DRIVER025,SHIPMENT118,8300000.00,CONFIRMED
976,DRIVER018,SHIPMENT005,8800000.00,CONFIRMED
977,DRIVER035,SHIPMENT610,2000000.00,PENDING
978,DRIVER035,SHIPMENT331,6500000.00,CONFIRMED
979,DRIVER006,SHIPMENT511,8700000.00,CONFIRMED
980,DRIVER019,SHIPMENT930,1400000.00,PENDING
982,DRIVER016,SHIPMENT459,4400000.00,PAID
983,DRIVER021,SHIPMENT373,5500000.00,PAID
984,DRIVER020,SHIPMENT924,3000000.00,PAID
985,DRIVER016,SHIPMENT724,5000000.00,PAID
986,DRIVER027,SHIPMENT253,4500000.00,PAID
987,DRIVER001,SHIPMENT246,3700000.00,PAID
988,DRIVER032,SHIPMENT707,3800000.00,CONFIRMED
989,DRIVER020,SHIPMENT941,3700000.00,PAID
990,DRIVER021,SHIPMENT537,7600000.00,CONFIRMED
991,DRIVER032,SHIPMENT875,2500000.00,CONFIRMED
992,DRIVER035,SHIPMENT442,4000000.00,CONFIRMED
993,DRIVER032,SHIPMENT854,2100000.00,PENDING
994,DRIVER022,SHIPMENT343,4700000.00,PAID
995,DRIVER035,SHIPMENT871,2800000.00,PENDING
996,DRIVER023,SHIPMENT756,3700000.00,PENDING
997,DRIVER026,SHIPMENT905,7600000.00,PENDING
998,DRIVER017,SHIPMENT899,1300000.00,CONFIRMED
1000,DRIVER001,SHIPMENT145,8400000.00,PENDING
